"ID","Type","Name","Documentation","Specialization"
"id-5989954b23ee40ef82a6ebf639e0fa6e","Artifact","CLE53-stages_logs.py","Datei | Pfad: 01-artifacts/01-scripts/CLE53-stages_logs.py | Tiefe: 3",""
"id-59f31053d46a44b192345c3a9013f9e8","Artifact","CSV09-masterxml2csv.py","Datei | Pfad: 01-artifacts/01-scripts/CSV09-masterxml2csv.py | Tiefe: 3",""
"id-5a59f3c229da4a64bc469afde5fb5f4b","Artifact","01-bpmnchild","Ordner | Pfad: 01-artifacts/03-XLSX/03-child/01-bpmnchild | Tiefe: 4",""
"id-5cc4cd01188d4a86ab93bbdfb9851d0a","Artifact","Technology Interaction.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/4. Technology & Physical/Technology Interaction.ajs | Tiefe: 6",""
"id-5d224d8620624fe2a367fe9530982449","Artifact","M2B06-writeback_bpmn_id.py","Datei | Pfad: 01-artifacts/01-scripts/M2B06-writeback_bpmn_id.py | Tiefe: 3",""
"id-5ebf79ef3e32414b91be390af7c9fada","Artifact","Technology Collaboration.ajs","Datei | Pfad: 01-artifacts/01-scripts/examples/Change type to/4. Technology & Physical/Technology Collaboration.ajs | Tiefe: 6",""
"id-603d347ad75f4a9cb636dce687fd1386","Artifact","04-import","Ordner | Pfad: 01-artifacts/03-XLSX/04-import | Tiefe: 3",""
"id-62d5acfcbbd145cc827dc8c4d10a5326","Artifact","CSV05-create_master_csvs.py","Datei | Pfad: 01-artifacts/01-scripts/CSV05-create_master_csvs.py | Tiefe: 3",""
"id-62e22aa838084858b550df9d759ea33a","Artifact","HLP10-cleanup_property_definitions.py","Datei | Pfad: 01-artifacts/01-scripts/HLP10-cleanup_property_definitions.py | Tiefe: 3",""
"id-658b0f9ca899480db62cd06640575399","Artifact","XML05-clear_merge.py","Datei | Pfad: 01-artifacts/01-scripts/XML05-clear_merge.py | Tiefe: 3",""
"id-663e3f635b8c416babd455799678e126","Artifact","01-artifacts","Ordner | Pfad: 01-artifacts | Tiefe: 1",""
